"Shelby, Richard",SenShelby
"Jomes, Doug",SenDougJones
"Murkowski, Lisa",lisamurkowski
"Sullivan, Dan",SenDanSullivan
"Kyl, Jon",SenJonKyl
"Flake, Jeff",JeffFlake
"Cotton, Tom",SenTomCotton
"Boozman, John",JohnBoozman
"Feinstein, Dianne",SenFeinstein
"Harris, Kamala",SenKamalaHarris
"Bennet, Michael",SenBennetCO
"Gardner, Cory",SenCoryGardner
"Murphy, Christopher",ChrisMurphyCT
"Blumenthal, Richard",SenBlumenthal
"Carper, Tom",SenatorCarper
"Coons, Chris",ChrisCoons
"Nelson, Bill",SenBillNelson
"Rubio, Marco",marcorubio
"Perdue, David",SenDavidPerdue
"Isakson, Johnny",SenatorIsakson
"Schatz, Brian",brianschatz
"Hirono, Mazie",maziehirono
"Crapo, Mike",MikeCrapo
"Risch, Jim",SenatorRisch
"Duckworth, Tammy",SenDuckworth
"Durbin, Dick",SenatorDurbin
"Donnelly, Joe",SenDonnelly
"Young, Todd",SenToddYoung
"Grassley, Chuck",ChuckGrassley
"Ernst, Joni",joniernst
"Roberts, Pat",SenPatRoberts
"Moran, Jerry",JerryMoran
"McConnell, Mitch",SenateMajLdr
"Paul, Rand",RandPaul
"Cassidy, Bill",BillCassidy
"Kennedy, John",SenJohnKennedy
"King, Angus",SenAngusKing
"Collins, Susan",SenatorCollins
"Van Hollen, Chris",ChrisVanHollen
"Cardin, Ben",SenatorCardin
"Markey, Ed",senmarkey
"Warren, Elizabeth",SenWarren
"Peters, Gary",SenGaryPeters
"Stabenow, Debbie",SenStabenow
"Klobuchar, Amy",amyklobuchar
"Smith, Tina",SenTinaSmith
"Hyde-Smith, Cindy",SenHydeSmith
"Wicker, Roger",SenatorWicker
"McCaskill, Claire",clairecmc
"Blunt, Roy",RoyBlunt
"Daines, Steve",SteveDaines
"Tester, Jon",SenatorTester
"Fischer, Deb",SenatorFischer
"Sasse, Ben",BenSasse
"Cortez Masto, Catherine",SenCortezMasto
"Heller, Dean",SenDeanHeller
"Shaheen, Jeanne",SenatorShaheen
"Hassan, Maggie",SenatorHassan
"Booker, Cory",CoryBooker
"Menendez, Bob",SenatorMenendez
"Heinrich, Martin",MartinHeinrich
"Udall, Tom",SenatorTomUdall
"Schumer, Chuck",SenSchumer
"Gillibrand, Kirsten",SenGillibrand
"Burr, Richard",SenatorBurr
"Tillis, Thom",SenThomTillis
"Heitkamp, Heidi",SenatorHeitkamp
"Hoeven, John",SenJohnHoeven
"Brown, Sherrod",SenSherrodBrown
"Portman, Rob",SenRobPortman
"Inhofe, Jim",jiminhofe
"Lankford, James",SenatorLankford
"Wyden, Ron",RonWyden
"Merkley, Jeff",SenJeffMerkley
"Casey, Bob",SenBobCasey
"Toomey, Pat",SenToomey
"Reed, Jack",SenJackReed
"Whitehouse, Sheldon",SenWhitehouse
"Graham, Lindsey",GrahamBlog
"Scott, Tim",SenatorTimScott
"Rounds, Mike",SenatorRounds
"Thune, John",SenJohnThune
"Alexander, Lamar",SenAlexander
"Corker, Bob",BobCorker
"Cornyn, John",JohnCornyn
"Cruz, Ted",SenTedCruz
"Hatch, Orrin",SenOrrinHatch
"Lee, Mike",SenMikeLee
"Leahy, Patrick",SenatorLeahy
"Sanders, Bernie",SenatorSanders
"Kaine, Tim",timkaine
"Warner, Mark",MarkWarner
"Murray, Patty",PattyMurray
"Cantwell, Maria",SenatorCantwell
"Capito, Shelley Moore",SenCapito
"Manchin, Joe",Sen_JoeManchin
"Baldwin, Tammy",SenatorBaldwin
"Johnson, Ron",SenRonJohnson
"Enzi, Mike",SenatorEnzi
"Barrasso, John",SenJohnBarrasso
